Paper 1 SPT-100

Voltage	Current	Power	Anode	Cathode	Total	Cathode	Thrust	Spcific	Effici	Facility
			Flow	Flow	Flow	Fractin		Impulse	ency	Pressure
V	A	W	mg/s	mg/s	mg/s		mN	s		Pa
300	3.01	903	3.45	0.26	3.71	0.071	44.3	1220	0.293	0.0014
300	3.25	975	3.87	0.26	4.13	0.064	58.8	1450	0.430	0.0015
300	3.51	1050	4.17	0.26	4.43	0.060 	64.1 	1480 	0.441 	0.0015
299 	3.75 	1120 	4.42 	0.26 	4.68 	0.057 	68.6 	1490 	0.448 	0.0016
299	3.97 	1190 	4.66 	0.27 	4.93 	0.055 	72.8 	1510 	0.453 	0.0016
299	4.25 	1270 	4.93 	0.26 	5.19 	0.050 	78.2 	1540 	0.464 	0.0017
299	4.50 	1350 	5.18 	0.26 	5.44 	0.047 	82.7 	1550 	0.467 	0.0018
299	4.75 	1420 	5.42 	0.26 	5.68 	0.047 	86.6 	1550 	0.464 	0.0018
299	4.98 	1490 	5.64 	0.26 	5.91 	0.045 	91.7 	1580 	0.478 	0.0019
301	4.27 	1280 	4.96 	0.26 	5.22 	0.051 	77.8 	1520 	0.452 	0.0017
300	3.01 	904 	3.55 	0.50 	4.05 	0.12 	54.5 	1370 	0.405 	0.0014
300	3.24 	973 	3.80 	0.50 	4.30 	0.12 	59.6 	1410 	0.425 	0.0014
300	3.49 	1050 	4.08 	0.50 	4.59 	0.11 	65.1 	1450 	0.441 	0.0015
300	3.75 	1130 	4.37 	0.50 	4.86 	0.10 	70.6 	1480 	0.455 	0.0015
300	4.08 	1220 	4.70 	0.50 	5.20 	0.097 	77.4 	1520 	0.470 	0.0016
300	4.50 	1350 	5.12 	0.50 	5.62 	0.089 	85.7 	1550 	0.484 	0.0017
300	5.00 	1500 	5.62 	0.50 	6.12 	0.081 	95.4 	1590 	0.496 	0.0018
300	4.08 	1220 	4.70 	0.50 	5.20 	0.097 	76.8 	1510 	0.464 	0.0016
300	3.00 	901 	3.35 	1.0 	4.38 	0.24 	52.5 	1220 	0.349 	0.0015
300	3.26 	979 	3.67 	1.0 	4.70 	0.22 	60.6 	1310 	0.399 	0.0016
300	3.48 	1050 	3.91 	1.0 	4.94 	0.21 	64.4 	1330 	0.401 	0.0017
301	3.77 	1130 	4.16 	1.0 	5.19 	0.20 	64.9 	1270 	0.358 	0.0018
300	4.00 	1200 	4.38 	1.0 	5.42 	0.19 	68.4 	1290 	0.359 	0.0019
300	4.24 	1270 	4.64 	1.0 	5.68 	0.18 	73.7 	1320 	0.375 	0.0019
300	4.50 	1350 	5.00 	1.0 	6.03 	0.17 	86.9 	1470 	0.463 	0.0018
300	4.75 	1430 	5.23 	1.0 	6.27 	0.17 	92.0 	1500 	0.474 	0.0019
300 	4.98 	1490 	5.45 	1.0 	6.48 	0.16 	96.5 	1520 	0.481 	0.0020
300	3.72 	1120 	4.17 	1.0 	5.20 	0.20 	69.1 	1350 	0.411 	0.0017
250 	5.02 	1260 	5.55 	0.26 	5.82 	0.045 	76.0 	1330 	0.396 	0.0021
250 	4.74 	1190 	5.30 	0.26 	5.57 	0.047 	72.8 	1330 	0.402 	0.0020
250	4.51 	1130 	5.10 	0.26 	5.37 	0.049 	70.0 	1330 	0.405 	0.0019
250	4.32 	1080 	4.94 	0.26 	5.21 	0.051 	68.1 	1330 	0.413 	0.0018
250 	4.00 	1000 	4.64 	0.26 	4.91 	0.054 	64.0 	1330 	0.417 	0.0018
250 	3.75 	937 	4.41 	0.26 	4.67 	0.057 	61.1 	1330 	0.426 	0.0017
